iter	Passed	Remaining
0	631	314921
1	1336	332855
2	1942	321747
3	2608	323460
4	3226	319450
5	3903	321356
6	4505	317287
7	5093	313236
8	5734	312832
9	6324	309905
10	6922	307727
11	7515	305647
12	8167	305960
13	8789	305113
14	9402	304002
15	10019	303078
16	10659	302842
17	11280	302078
18	11913	301595
19	12522	300534
20	13146	299860
21	13734	298402
22	14378	298188
23	14970	296922
24	15593	296268
25	16213	295585
26	16826	294771
27	17416	293600
28	17994	292262
29	18593	291303
30	19181	290199
31	19788	289403
32	20389	288538
33	20954	287200
34	21542	286209
35	22133	285282
36	22726	284389
37	23307	283365
38	23934	282923
39	24543	282246
40	25147	281523
41	25755	280855
42	26351	280064
43	26986	279682
44	27633	279410
45	28237	278687
46	28877	278326
47	29536	278132
48	30146	277475
49	30748	276737
50	31379	276263
51	31987	275585
52	32582	274798
53	33231	274469
54	33834	273749
55	34425	272945
56	35038	272315
57	35680	271907
58	36311	271416
59	36929	270815
60	37560	270314
61	38159	269575
62	38765	268897
63	39345	268040
64	39938	267277
65	40551	266659
66	41133	265832
67	41727	265093
68	42317	264328
69	42900	263530
70	43460	262600
71	44030	261738
72	44589	260818
73	45177	260076
74	45764	259334
75	46328	258464
76	46935	257839
77	47531	257156
78	48091	256285
79	48681	255576
80	49267	254854
81	49833	254028
82	50413	253282
83	50962	252384
84	51539	251635
85	52098	250800
86	52664	250005
87	53231	249220
88	53786	248385
89	54342	247559
90	54902	246759
91	55466	245979
92	56041	245257
93	56622	244561
94	57198	243845
95	57773	243130
96	58339	242381
97	58925	241715
98	59526	241113
99	60110	240443
100	60679	239712
101	61247	238985
102	61797	238188
103	62500	237982
104	63063	237238
105	63699	236770
106	64260	236023
107	64817	235264
108	65398	234595
109	65955	233840
110	66519	233117
111	67084	232399
112	67654	231700
113	68224	231005
114	68821	230403
115	69411	229777
116	69960	229014
117	70525	228312
118	71112	227680
119	71693	227030
120	72268	226362
121	72840	225687
122	73409	225004
123	73967	224288
124	74542	223628
125	75094	222900
126	75667	222237
127	76243	221582
128	76818	220926
129	77393	220275
130	77965	219613
131	78547	218979
132	79118	218318
133	79692	217666
134	80255	216988
135	80834	216352
136	81405	215694
137	81965	215010
138	82532	214347
139	83107	213705
140	83661	213010
141	84239	212378
142	84798	211699
143	85372	211060
144	85947	210422
145	86527	209798
146	87109	209181
147	87680	208537
148	88271	207941
149	88845	207305
150	89451	206746
